# Server version 0.08 running on emmanuels-mbp.local:8123
# Game ID: 68
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Fri Mar 31 00:23:52 EDT 2017
# Player 1: Player-0, 'Human', running on emmanuels-mbp.local
# Player 2: Player-1, '260587675', running on emmanuels-mbp.local
START Player-0 Human
START Player-1 260587675
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 0
PIT 0 5
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 5
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 4
PIT 1 0
PIT 0 0
PIT 1 2
PIT 0 4
PIT 1 0
PIT 0 1
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 4
PIT 0 1
PIT 1 0
PIT 0 0
PIT 1 2
PIT 0 5
PIT 1 0
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 5
PIT 0 2
PIT 1 0
PIT 0 0
PIT 1 2
PIT 0 2
PIT 1 4
PIT 0 3
PIT 0 1
PIT 0 2
GAMEOVER WINNER 0         Player-0 score: 46  Player-1 score: 26
# Game ended: Fri Mar 31 00:25:54 EDT 2017
